-5, 25
-4.79592, 23.0008
-4.59184, 21.085
-4.38776, 19.2524
-4.18367, 17.5031
-3.97959, 15.8372
-3.77551, 14.2545
-3.57143, 12.7551
-3.36735, 11.339
-3.16327, 10.0062
-2.95918, 8.75677
-2.7551, 7.59059
-2.55102, 6.50771
-2.34694, 5.50812
-2.14286, 4.59184
-1.93878, 3.75885
-1.73469, 3.00916
-1.53061, 2.34277
-1.32653, 1.75968
-1.12245, 1.25989
-0.918367, 0.843399
-0.714286, 0.510204
-0.510204, 0.260308
-0.306122, 0.093711
-0.102041, 0.0104123
0.102041, 0.0104123
0.306122, 0.093711
0.510204, 0.260308
0.714286, 0.510204
0.918367, 0.843399
1.12245, 1.25989
1.32653, 1.75968
1.53061, 2.34277
1.73469, 3.00916
1.93878, 3.75885
2.14286, 4.59184
2.34694, 5.50812
2.55102, 6.50771
2.7551, 7.59059
2.95918, 8.75677
3.16327, 10.0062
3.36735, 11.339
3.57143, 12.7551
3.77551, 14.2545
3.97959, 15.8372
4.18367, 17.5031
4.38776, 19.2524
4.59184, 21.085
4.79592, 23.0008
5, 25
