Antall datapunkter: 10201
-5.000, -5.000, 50.000
-5.000, -4.900, 49.010
-5.000, -4.800, 48.040
-5.000, -4.700, 47.090
-5.000, -4.600, 46.160
-5.000, -4.500, 45.250
-5.000, -4.400, 44.360
-5.000, -4.300, 43.490
-5.000, -4.200, 42.640
-5.000, -4.100, 41.810
-5.000, -4.000, 41.000
-5.000, -3.900, 40.210
-5.000, -3.800, 39.440
-5.000, -3.700, 38.690
-5.000, -3.600, 37.960
-5.000, -3.500, 37.250
-5.000, -3.400, 36.560
-5.000, -3.300, 35.890
-5.000, -3.200, 35.240
-5.000, -3.100, 34.610
-5.000, -3.000, 34.000
-5.000, -2.900, 33.410
-5.000, -2.800, 32.840
-5.000, -2.700, 32.290
-5.000, -2.600, 31.760
-5.000, -2.500, 31.250
-5.000, -2.400, 30.760
-5.000, -2.300, 30.290
-5.000, -2.200, 29.840
-5.000, -2.100, 29.410
-5.000, -2.000, 29.000
-5.000, -1.900, 28.610
-5.000, -1.800, 28.240
-5.000, -1.700, 27.890
-5.000, -1.600, 27.560
-5.000, -1.500, 27.250
-5.000, -1.400, 26.960
-5.000, -1.300, 26.690
-5.000, -1.200, 26.440
-5.000, -1.100, 26.210
-5.000, -1.000, 26.000
-5.000, -0.900, 25.810
-5.000, -0.800, 25.640
-5.000, -0.700, 25.490
-5.000, -0.600, 25.360
-5.000, -0.500, 25.250
-5.000, -0.400, 25.160
-5.000, -0.300, 25.090
-5.000, -0.200, 25.040
-5.000, -0.100, 25.010
-5.000, 0.000, 25.000
-5.000, 0.100, 25.010
-5.000, 0.200, 25.040
-5.000, 0.300, 25.090
-5.000, 0.400, 25.160
-5.000, 0.500, 25.250
-5.000, 0.600, 25.360
-5.000, 0.700, 25.490
-5.000, 0.800, 25.640
-5.000, 0.900, 25.810
-5.000, 1.000, 26.000
-5.000, 1.100, 26.210
-5.000, 1.200, 26.440
-5.000, 1.300, 26.690
-5.000, 1.400, 26.960
-5.000, 1.500, 27.250
-5.000, 1.600, 27.560
-5.000, 1.700, 27.890
-5.000, 1.800, 28.240
-5.000, 1.900, 28.610
-5.000, 2.000, 29.000
-5.000, 2.100, 29.410
-5.000, 2.200, 29.840
-5.000, 2.300, 30.290
-5.000, 2.400, 30.760
-5.000, 2.500, 31.250
-5.000, 2.600, 31.760
-5.000, 2.700, 32.290
-5.000, 2.800, 32.840
-5.000, 2.900, 33.410
-5.000, 3.000, 34.000
-5.000, 3.100, 34.610
-5.000, 3.200, 35.240
-5.000, 3.300, 35.890
